Numero,Sesso,Data di Nascita,Ora Nascita,Comune Nascita,Sigla Provincia o Stato Nascita,Comune Residenza,Sigla Provincia o Stato Residenza,Data Atto,Giorno Nascita,Giorno Settimana,Mese Nascita,Fascia Oraria
417,F,2024-09-09,10:20,Foggia,FG,Carapelle,FG,2024-09-10,9,Luned ,Settembre,Mattina (06:00 - 11:59)
418,F,2024-09-11,16:04,Foggia,FG,Carapelle,FG,2024-09-10,11,Mercoled ,Settembre,Pomeriggio (12:00 - 17:59)
419,F,2024-09-11,21:24,Foggia,FG,Montenero Di Bisaccia,CB,2024-09-10,11,Mercoled ,Settembre,Sera (18:00 - 23:59)
420,F,2024-09-12,19:08,Foggia,FG, Lucera,FG,2024-09-11,12,Gioved ,Settembre,Sera (18:00 - 23:59)
421,F,2024-09-15,07:16,Foggia,FG,Troia,FG,2024-09-11,15,Domenica,Settembre,Mattina (06:00 - 11:59)
422,M,2024-09-15,18:15,Foggia,FG,Durazzo,AL,2024-09-11,15,Domenica,Settembre,Sera (18:00 - 23:59)
423,M,2024-09-15,21:31,Foggia,FG,San Severo,FG,2024-09-11,15,Domenica,Settembre,Sera (18:00 - 23:59)
424,M,2024-09-13,22:36,Foggia,FG,Ascoli Satriano,FG,2024-09-12,13,Venerd ,Settembre,Sera (18:00 - 23:59)
425,F,2024-09-14,11:22,Foggia,FG,Modena,MO,2024-09-13,14,Sabato,Settembre,Mattina (06:00 - 11:59)
426,M,2024-09-12,22:39,Foggia,FG,Manfredonia,FG,2024-09-13,12,Gioved ,Settembre,Sera (18:00 - 23:59)
427,F,2024-09-15,07:14,Foggia,FG,Lissone,MB,2024-09-16,15,Domenica,Settembre,Mattina (06:00 - 11:59)
428,M,2024-09-17,14:05,Foggia,FG,Cerignola,FG,2024-09-16,17,Marted ,Settembre,Pomeriggio (12:00 - 17:59)
429,F,2024-09-17,15:00,Foggia,FG,Rozzano,MI,2024-09-16,17,Marted ,Settembre,Pomeriggio (12:00 - 17:59)
430,F,2024-09-17,22:46,Foggia,FG,Manfredonia,FG,2024-09-16,17,Marted ,Settembre,Sera (18:00 - 23:59)
